Timestamp,Name,Symbol,RealTimePrice,MarketCap,Volume,PercentChange24h,CirculatingSupply,High24h,Low24h,AllTimeHigh,AllTimeLow
2024-01-09 17:26:36,Monero,xmr,147.06,2670675060.0,123844997.0,-3.88095,18147820.3764146,154.06,145.08,542.33,0.216177
2024-01-09 17:26:38,TRON,trx,0.103539,9123876535.0,367177121.0,-0.1861,88272643821.4319,0.104912,0.102981,0.231673,0.00180434
2024-01-09 17:26:40,Tezos,xtz,0.915994,823427683.0,33125597.0,3.45089,897708401.410572,0.944016,0.885438,9.12,0.350476
2024-01-09 17:27:42,USDC,usdc,1.001,25358965552.0,10863787059.0,0.17842,25320492447.933,1.006,0.99512,1.17,0.877647
2024-01-09 17:27:44,Wrapped Bitcoin,wbtc,46622.0,7371087098.0,400562600.0,4.75526,158168.98879455,47091.0,44506.0,70643.0,3139.17
2024-01-09 17:27:46,Uniswap,uni,6.01,4519814966.0,222707425.0,-0.47505,753766667.0,6.26,5.96,44.92,1.03
2024-01-09 17:27:47,Aave,aave,95.22,1398352084.0,155816811.0,-0.22969,14704181.392036,99.73,95.1,661.69,26.02
2024-01-09 17:27:49,Bitcoin SV,bsv,88.37,1748211338.0,152457899.0,18.5162,19602075.0,96.89,74.56,489.75,21.43
2024-01-09 17:28:51,Litecoin,ltc,66.11,4891176609.0,873063633.0,2.27701,74073114.4834713,68.43,64.64,410.26,1.15
2024-01-09 17:28:52,Cardano,ada,0.522196,18264208492.0,650867534.0,4.49002,35062455754.9956,0.542339,0.499757,3.09,0.01925275
2024-01-09 17:28:54,Polkadot,dot,7.35,9745634000.0,294918689.0,3.66295,1316856816.75429,7.51,7.09,54.98,2.7
2024-01-09 17:28:56,Bitcoin Cash,bch,250.36,4907408430.0,278765893.0,4.90844,19608862.3966508,256.29,237.19,3785.82,76.93
2024-01-09 17:28:57,Stellar,xlm,0.117337,3321042595.0,88132167.0,0.20737,28273131167.5263,0.120171,0.116468,0.875563,0.00047612
2024-01-09 17:30:01,LEO Token,leo,4.05,3752386587.0,1534626.0,1.08661,927992650.9,4.08,3.94,8.14,0.799859
2024-01-09 17:30:04,Bitcoin,btc,46622.0,911132839587.0,36719955176.0,4.47883,19593712.0,47193.0,44624.0,69045.0,67.81
2024-01-09 17:30:05,Ethereum,eth,2300.52,276256856520.0,23037712318.0,2.72755,120184188.645257,2360.39,2239.44,4878.26,0.432979
2024-01-09 17:30:07,BNB,bnb,304.61,46769789365.0,1367683527.0,1.59843,153856150.0,308.59,298.11,686.31,0.0398177
2024-01-09 17:30:08,XRP,xrp,0.568204,30804359446.0,1214957876.0,0.91239,54210437480.0,0.581288,0.563067,3.4,0.00268621
2024-01-09 17:31:10,Maker,mkr,1821.1,1669477283.0,162800943.0,0.61018,920112.336426501,1940.34,1731.65,6292.31,168.36
2024-01-09 17:32:13,Wrapped Bitcoin,wbtc,46607.0,7371087098.0,399252311.0,4.05174,158168.98879455,47091.0,44738.0,70643.0,3139.17
2024-01-09 17:32:15,Uniswap,uni,6.0,4519814966.0,220788141.0,-1.60901,753766667.0,6.26,5.96,44.92,1.03
2024-01-09 17:32:17,Aave,aave,95.27,1400098901.0,155776286.0,-0.78349,14704181.392036,99.73,95.1,661.69,26.02
2024-01-09 17:32:19,Bitcoin SV,bsv,88.46,1734024966.0,152528735.0,15.85505,19602125.0,96.89,75.45,489.75,21.43
2024-01-09 17:32:20,EOS,eos,0.718935,815032355.0,121131034.0,0.59308,1134698509.5403,0.740856,0.711515,22.71,0.5024
2024-01-09 17:33:22,Ethereum,eth,2300.73,276304386701.0,23063070667.0,1.94282,120183956.666439,2360.39,2252.87,4878.26,0.432979
2024-01-09 17:33:24,BNB,bnb,304.83,46873204633.0,1357836018.0,1.16693,153856150.0,308.59,298.11,686.31,0.0398177
2024-01-09 17:33:26,XRP,xrp,0.569012,30804359446.0,1211702969.0,0.66455,54210437480.0,0.581288,0.563284,3.4,0.00268621
2024-01-09 17:34:28,Maker,mkr,1823.86,1677481648.0,162611186.0,0.76307,920112.336426501,1940.34,1731.65,6292.31,168.36
2024-01-09 17:34:31,Cronos,cro,0.089105,2356765645.0,15044839.0,0.21102,26468593374.8142,0.092903,0.088414,0.965407,0.0121196
2024-01-09 17:34:33,Dash,dash,27.87,322813539.0,41338710.0,3.10923,11617729.2810223,28.59,26.92,1493.59,0.213899
2024-01-09 17:35:33,Bitcoin SV,bsv,91.16,1734024966.0,338926202.0,19.38285,19602125.0,96.89,75.45,489.75,21.43
2024-01-09 17:35:35,EOS,eos,0.72092,815775259.0,121267547.0,0.98849,1134700093.9955,0.740856,0.711515,22.71,0.5024
2024-01-09 17:35:37,Monero,xmr,147.65,2674109395.0,123932135.0,-3.83235,18147820.3764146,154.06,145.08,542.33,0.216177
2024-01-09 17:35:40,TRON,trx,0.103608,9123876535.0,370990818.0,-0.42881,88272643821.4319,0.104912,0.102981,0.231673,0.00180434
2024-01-09 17:36:42,Cardano,ada,0.523762,18311553559.0,646702406.0,3.76535,35062455754.9956,0.542339,0.504756,3.09,0.01925275
2024-01-09 17:36:43,Polkadot,dot,7.35,9663668966.0,267465481.0,2.71308,1316856816.62905,7.51,7.15,54.98,2.7
2024-01-09 17:36:48,Bitcoin Cash,bch,252.38,4915708246.0,315899268.0,5.34202,19608899.8966508,256.29,237.19,3785.82,76.93
2024-01-09 17:36:50,Stellar,xlm,0.117563,3327758993.0,89943620.0,0.22394,28273131150.1924,0.120171,0.116468,0.875563,0.00047612
2024-01-09 17:36:55,Chainlink,link,13.85,7847309316.0,515736394.0,1.57941,568099971.308341,14.41,13.55,52.7,0.148183
2024-01-09 17:37:59,EOS,eos,0.719627,815775259.0,120660132.0,0.80731,1134700093.9955,0.740856,0.711515,22.71,0.5024
2024-01-09 17:38:02,Monero,xmr,147.41,2674109395.0,123596641.0,-3.98587,18147820.3764146,154.06,145.08,542.33,0.216177
2024-01-09 17:38:06,TRON,trx,0.103437,9147658510.0,370579652.0,-0.3268,88272430221.0352,0.104912,0.102981,0.231673,0.00180434
2024-01-09 17:38:09,Tezos,xtz,0.914558,823029350.0,33013547.0,2.49391,897709512.443472,0.944016,0.88944,9.12,0.350476
2024-01-09 17:38:11,NEO,neo,11.69,825195623.0,40107238.0,2.80528,70530000.0,12.07,11.34,198.38,0.078349
2024-01-09 17:38:13,NEM,xem,0.03389811,304790940.0,5058650.0,3.36626,8999999999.0,0.03488279,0.03273971,1.87,8.482e-05
2024-01-09 17:39:18,LEO Token,leo,4.05,3763167425.0,1531992.0,0.9881,927992650.9,4.08,3.94,8.14,0.799859
2024-01-09 17:40:23,Aave,aave,95.35,1400098901.0,154769506.0,-0.79699,14704181.392036,99.73,95.1,661.69,26.02
2024-01-09 17:40:25,Bitcoin SV,bsv,91.26,1734024966.0,342140925.0,18.08985,19602125.0,96.89,75.45,489.75,21.43
2024-01-09 17:40:27,EOS,eos,0.718918,815775259.0,120221973.0,0.70804,1134700093.9955,0.740856,0.711515,22.71,0.5024
2024-01-09 17:40:28,Monero,xmr,147.31,2674109395.0,123396686.0,-4.05453,18147820.3764146,154.06,145.08,542.33,0.216177
2024-01-09 17:41:30,Polkadot,dot,7.32,9663668966.0,265724822.0,1.7291,1316856816.62905,7.51,7.15,54.98,2.7
2024-01-09 17:41:32,Bitcoin Cash,bch,251.15,4915708246.0,278714559.0,4.50826,19608899.8966508,256.29,237.19,3785.82,76.93
2024-01-09 17:41:34,Stellar,xlm,0.117403,3327758993.0,92039622.0,-0.23197,28273131150.1924,0.120171,0.116468,0.875563,0.00047612
2024-01-09 17:41:35,Chainlink,link,13.83,7847309316.0,509423989.0,0.95034,568099971.308341,14.41,13.55,52.7,0.148183
2024-01-09 17:42:37,NEM,xem,0.0339092,304790940.0,5046797.0,2.81408,8999999999.0,0.03488279,0.03273971,1.87,8.482e-05
2024-01-09 17:42:38,Cosmos Hub,atom,9.91,3779125906.0,234123665.0,3.77069,382129656.238998,10.01,9.5,44.45,1.16
2024-01-09 17:42:40,VeChain,vet,0.03025755,2203737846.0,86958226.0,-0.59074,72714516834.0,0.03210619,0.0300244,0.280991,0.00191713
2024-01-09 17:42:42,Maker,mkr,1819.1,1677481648.0,160752602.0,0.48414,920112.336426501,1940.34,1731.65,6292.31,168.36
2024-01-09 17:54:31,Bitcoin,btc,46699.0,915856964628.0,37646349711.0,3.97136,19593731.0,47193.0,44737.0,69045.0,67.81
2024-01-09 17:54:33,Ethereum,eth,2297.25,276661084306.0,22122158246.0,1.81553,120183956.666439,2360.39,2252.87,4878.26,0.432979
2024-01-09 17:54:34,BNB,bnb,304.32,46912256382.0,1372390041.0,1.13785,153856150.0,308.59,298.11,686.31,0.0398177
2024-01-09 17:54:35,XRP,xrp,0.56774,30777101537.0,1173053998.0,0.49168,54210437480.0,0.581288,0.563284,3.4,0.00268621
2024-01-09 17:54:37,Litecoin,ltc,65.71,4868300415.0,849502293.0,1.20338,74073201.9834713,68.43,64.93,410.26,1.15
2024-01-09 17:55:38,Litecoin,ltc,65.74,4868300415.0,844864547.0,0.89084,74073201.9834713,68.43,64.95,410.26,1.15
